time/iterations,custom/cycle,rollout/ep_rew_mean,time/time_elapsed,custom/env,custom/agent_name,time/total_timesteps,rollout/ep_len_mean,time/fps,custom/seed,custom/agent_type,custom/pamdp_timestep,train/approx_kl,train/clip_fraction,train/learning_rate,train/loss,train/clip_range,train/n_updates,train/entropy_loss,train/explained_variance,train/policy_gradient_loss,train/value_loss
1,81,0.31164053999999997,7,"Platform-v0","PPO-PPO",167936,4.0,287,1,"discrete",331776,0.3916296,0.20068359375,0.0003,-0.05691075325012207,0.2,810,-0.06848110680845458,0.9615322686731815,-0.0327735944527376,0.0003167022040386769
1,82,0.36992566,8,"Platform-v0","PPO-PPO",169984,4.0,236,1,"discrete",335872,0.9547999,0.24853515625,0.0003,-0.05115072429180145,0.2,820,-0.0024120505541759484,0.7375297844409943,-0.05220575201674364,0.0034061706843203864
1,83,0.3708475499999999,8,"Platform-v0","PPO-PPO",172032,4.0,238,1,"discrete",339968,3.3760443e-09,0.0001953125,0.0003,2.5029567041201517e-05,0.2,830,-0.0009261345412369337,0.9632949195802212,-2.66243310761638e-05,9.688826990554844e-05
1,84,0.24782127999999998,6,"Platform-v0","PPO-PPO",174080,4.0,333,1,"discrete",344064,1.0858128,0.23408203125,0.0003,-0.04409803822636604,0.2,840,-0.008752898745660787,0.9975286114495248,-0.049911822826834394,9.08767496667906e-06
1,85,0.3703130200000001,9,"Platform-v0","PPO-PPO",176128,4.0,226,1,"discrete",348160,1.3691208,0.246142578125,0.0003,-0.03918897733092308,0.2,850,-0.003935422644660491,0.9886007504537702,-0.059118644549744206,0.00023536223208964202
1,86,0.37170426000000006,8,"Platform-v0","PPO-PPO",178176,4.0,237,1,"discrete",352256,0.0053925887,0.0009765625,0.0003,-0.0010308952769264579,0.2,860,-0.00014768391541508663,0.9658788368105888,-0.0017466669261921198,0.0002679141044424682
1,87,0.37309297,8,"Platform-v0","PPO-PPO",180224,4.0,235,1,"discrete",356352,3.8999133e-09,0.0,0.0003,1.5777982298459392e-07,0.2,870,-9.171352367047803e-05,0.9944430608302355,-2.5470399123150855e-06,9.320676108615089e-06
1,88,0.3696632,8,"Platform-v0","PPO-PPO",182272,3.98,234,1,"discrete",360448,0.09387839,0.0091796875,0.0003,0.005561160854995251,0.2,880,-0.00030102716718141134,0.9933119509369135,-0.0010441015961987431,6.30493919480557e-05
1,89,0.3727471899999999,9,"Platform-v0","PPO-PPO",184320,4.0,221,1,"discrete",364544,0.07145054,0.003125,0.0003,-0.016907965764403343,0.2,890,-0.00010525457307957176,0.9115578159689903,-0.0034924532592413016,0.0006481084204324361
1,90,0.37240772,8,"Platform-v0","PPO-PPO",186368,4.0,235,1,"discrete",368640,3.2014214e-10,0.0,0.0003,8.478760719299316e-05,0.2,900,-6.177212967486411e-05,0.9636110812425613,-6.548890451085754e-06,0.00012018233669408573
1,91,0.33846296000000003,7,"Platform-v0","PPO-PPO",188416,4.0,272,1,"discrete",372736,0.003775009,0.009716796875,0.0003,0.005421537905931473,0.2,910,-0.02183890656147014,0.9897065982222557,-0.0005035004131059395,9.391036826826849e-05
1,92,0.37418592000000006,9,"Platform-v0","PPO-PPO",190464,4.0,224,1,"discrete",376832,0.6044531,0.220703125,0.0003,-0.061216920614242554,0.2,920,-0.002001908449153689,0.7675117403268814,-0.0469612060522195,0.0029287223689607343
1,93,0.37140993,9,"Platform-v0","PPO-PPO",192512,4.0,222,1,"discrete",380928,3.4924597e-10,0.0,0.0003,-8.43928773974767e-06,0.2,930,-8.91591344270637e-05,0.9874093178659678,-3.7608617276418956e-06,8.039667644155202e-05
