custom/env,custom/agent_name,custom/seed,rollout/ep_rew_mean,time/total_timesteps,custom/agent_type,time/iterations,rollout/ep_len_mean,time/fps,custom/pamdp_timestep,custom/cycle,time/time_elapsed,train/clip_range,train/std,train/explained_variance,train/clip_fraction,train/policy_gradient_loss,train/n_updates,train/loss,train/approx_kl,train/learning_rate,train/value_loss,train/entropy_loss
"Platform-v0","PPO-PPO",1,0.37120167000000004,149504,"continuous",1,4.0,240,301056,24,8,0.2,0.8069941997528076,0.8329959511756897,0.13408203125,0.002179760353465099,720,-0.008122526109218597,0.01065273,0.0003,0.001826642739251838,-3.303462889045477
,,,0.37533057999999997,151552,"continuous",2,4.0,235,303104,,17,0.2,0.8029001355171204,0.9637233354151249,0.15498046875,0.0032808300842589234,730,0.006244534160941839,0.008980373,0.0003,0.00034913194226291464,-3.2833854988217355
,,,0.37245491999999997,153600,"continuous",3,4.0,233,305152,,26,0.2,0.7979719042778015,0.9746356885880232,0.1419921875,0.0038835623585327995,740,0.017075547948479652,0.00900443,0.0003,0.0002320592419273737,-3.2576141215860845
"Platform-v0","PPO-PPO",1,0.36779261999999996,155648,"continuous",1,3.98,236,313344,25,8,0.2,0.7994905114173889,0.9656258970499039,0.18369140625,-0.0013199586457631086,750,0.003211966482922435,0.011113519,0.0003,0.0003863708791200793,-3.2465711742639543
,,,0.36898442,157696,"continuous",2,3.98,226,315392,,18,0.2,0.8061597943305969,0.9429708905518055,0.213232421875,0.0010640389446052723,760,0.025161437690258026,0.01461897,0.0003,0.0005474770492973846,-3.2531897485256196
,,,0.37051930999999994,159744,"continuous",3,3.98,224,317440,,27,0.2,0.8134415745735168,0.9308739006519318,0.243701171875,-0.0025833292478637305,770,-0.024730414152145386,0.024222478,0.0003,0.0007174315578510005,-3.274654049426317
"Platform-v0","PPO-PPO",1,0.37157779999999996,161792,"continuous",1,4.0,226,325632,26,9,0.2,0.8195241093635559,0.9476861879229546,0.165771484375,0.0007973563246196136,780,0.0014721631305292249,0.020694714,0.0003,0.0004952173025856155,-3.293858005106449
,,,0.37040688999999993,163840,"continuous",2,4.0,226,327680,,18,0.2,0.824143648147583,0.9546654373407364,0.15869140625,-0.002792275591491489,790,-0.018649430945515633,0.01148775,0.0003,0.0004030203984584091,-3.308055853098631
,,,0.37047970999999996,165888,"continuous",3,4.0,223,329728,,27,0.2,0.8224086761474609,0.9754096008837223,0.176123046875,0.002176285938185174,800,-0.006251578219234943,0.010916917,0.0003,0.00023400968444491354,-3.3048393711447717
"Platform-v0","PPO-PPO",1,0.37614108,167936,"continuous",1,4.0,229,337920,27,8,0.2,0.8165802955627441,0.9671540074050426,0.219287109375,0.0008831873841700144,810,0.021881237626075745,0.016371125,0.0003,0.00034272288205556835,-3.2789048105478287
